Query,Description
AI Engineer,"About UiPath What if you could shape the future of work and be part of the team that creates the digital workforce of tomorrow? In the beginning of the 20th century, Henry Ford had a vision of creating assembly lines and facilitating mass production. 100 years later, UiPath has a grand vision of liberating the human workforce from tedious, boring, repetitive tasks, by means of software robots, artificial intelligence and machine learning. If you like to think ahead, like we do, then we must talk. Here's what you would be doing at UiPath: Responsibilities Gathering information about the leads and allocate them. Offering full support to sales team to help increasing the number of clients. Updating and maintaining the UiPath CRM system, experience with Salesforce.com is desirable. Performing other duties as assigned. Qualifications Verbal and written fluency in business English. Quick and accurate computer skills. Ability to remain calm when dealing with difficult people. Self-motivated and able to work both individually and as part of a team. Advanced problem-solving and analytical skills. Advanced time management skills. Typically, bachelor degree in Business or Computer Science or equivalent. We offer Employment in a growing dynamic company with startup culture. Modern energetic multicultural environment. Interesting people, an excellent team of professionals. Extensive opportunities for professional growth and career. Flexible work schedule. Healthcare plan and a 401K matching plan."
AI Engineer,"Job Description Ford Global Data Insight and Analytics (GDI &A) is looking for a data scientist with an emphasis on Machine Learning and scalable computing. You will have the opportunity to work with some of the brightest global subject matter experts that are transforming the automobile industry. We are seeking an experienced Machine Learning scientist to assist in all phases of project work, including problem formulation, model development, and deployment for use in support of Ford Smart Mobility and Autonomous Vehicle initiatives. The job candidate should have great autonomy and self-discipline to conduct original research and choose appropriate methodologies to solve mobility problems. This position will involve the development and deployment of AI technology in areas such as autonomous vehicles, cybersecurity, customer interaction, manufacturing and connected vehicles. The Ford GDI&A – situated in greater Detroit, Palo Alto, Chennai, Europe, and China – is a growing team committed to enable Ford to see our business, know our customers, and act in a meaningful way. We enable evidence based decision making by providing timely, actionable, and forward-looking insights to our Ford business partners. Together our team works to understand our changing world, identify new opportunities, and take action to design and innovate for the future of mobility – Ford’s vehicles and surrounding experiences. Responsibilities: Analyze source data and data flows, working with structured and unstructured data. Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends. Apply AI/Machine Learning technology to solve real-world problems. Communicate and present models to business customers and executives. Coordinating with fellow data scientists from the Ford community in Dearborn, MI, Palo Alto, CA, Chennai, India, and Aachen, Germany. Job Requirements: Basic Qualifications: Master’s degree in Computer Science, Computer Engineering, Statistics, Economics, Mathematics or Physics or related field. 2+ years of experience with Machine Learning and Artificial Intelligence techniques and tools to include one or more of the following: neural networks, deep learning, regression, classification, or clustering. Preferred Qualifications: PhD in a quantitative field such as Computer Science, Computer Engineering, Statistics, Economics, Mathematics, Physics. 2+ years of experience with SQL, Spark, OR Hadoop. 2+ years of experience of functional programming with Python, Scala, Java, OR C++. Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data. Experience with Deep Learning frameworks such as TensorFlow, Caffe, Caffe2, PyTorch, or MxNet. Experience with Agile software development. Strong oral, written and interpersonal communication skills and an ability to work in a team environment. Comfortable working in an environment where problems are not always well-defined. The distance between imagination and … creation. It can be measured in years of innovation, or in moments of brilliance. When you join the Ford team; discover all the benefits, rewards and development opportunities you’d expect from a diverse global leader. You’ll become part of a team that is already leading the way, with ingenious solutions and attainable products – and it is always ready to go further. Visa sponsorship may be available for this position. Candidates for positions at Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Ford Motor Company is an equal opportunity employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status."
AI Engineer,"As organizations rethink their business models — redesigning work to harness the power of technology and adjust to a fast-changing world — it’s clear they can’t succeed without making people a priority. Human talent, rather than capital and technology, is the key factor linking innovation, competitiveness, and growth in the 21st century. People, not robots or artificial intelligence software, will continue to brainstorm new ideas, inspire others, and drive organizations to succeed. Mercer is uniquely qualified to help organizations design and execute sophisticated people strategies. We provide best-in-class consulting, rigorous analytics, and data-driven insights that help organizations make fact-based decisions which organizational and individual performance. Mercer is actively searching for a Consultant responsible for managing client engagements spanning one more of the following practice areas: Executive & Workforce Rewards, HR Effectiveness & Transformation or Talent Strategy. To fulfill this role, the Consultant will: Plan and manage execution of medium-to-large projects in alignment with strategic direction from the Senior Consulting team, including: estimating and managing project team member hours, establishing timelines, directing analyses, synthesizing outcomes into client-ready format and ensuring quality of all client deliverables Identify and support new business opportunities, including: sharing Mercer perspectives & methodologies with prospects, drafting responses to Requests for Proposals, and participating in sales presentations Delegate assignments to junior level colleagues in alignment with project needs, individual capability and development needs, and evolving Mercer standards Develop expertise in one or more practice areas and keep informed of evolving market trends through self-directed external and internal research (e.g., Mercer campaigns, perspectives, studies & solutions areas) Develop new tools and templates that can be leveraged in multiple markets; deliver standard training programs; ensure intellectual capital generated within own projects is captured and available for others; proactively contribute to personal learning, insights and knowledge through the knowledge management forum Qualifications To be considered for this opportunity, we require following knowledge, skills and abilities: BA/BS degree with coursework in finance, economics, statistics, mathematics, human resources (HR) and/or accounting, or equivalent work experience preferred Minimum of five years of relevant work experience in management consulting, compensation, finance, human resources or accounting preferred; project management experience; experience in data analysis, financial modeling and presentation design Excellent project management, organizational, interpersonal, verbal and written communication skills and ability to manage multiple projects simultaneously with strong attention to detail Strong analytical skills, both quantitative and qualitative, and a strong background in Excel Flexibility, adaptability and the ability to work under tight deadlines or changing client needs At Mercer, we make a difference in the lives of more than 110 million people every day by advancing their health, wealth, and careers. We’re in the business of creating more secure and rewarding futures for our clients and their employees — whether we’re designing affordable health plans, assuring income for retirement or aligning workers with workforce needs. Using analysis and insights as catalysts for change, we anticipate and understand the individual impact of business decisions, now and in the future. We see people’s current and future needs through a lens of innovation, and our holistic view, specialized expertise, and deep analytical rigor underpin each and every idea and solution we offer. For more than 70 years, we’ve turned our insights into actions, enabling people around the globe to live, work, and retire well. We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients. At Mercer, we say we Make Tomorrow, Today. Visit www.mercer.com for more information and follow us on LinkedIn and Twitter @Mercer. Mercer LLC and its separately incorporated operating entities around the world are part of Marsh & McLennan Companies, a publicly held company (ticker symbol: MMC). Marsh & McLennan Companies offers competitive salaries and comprehensive benefits and programs including: health and welfare, tuition assistance, 401K, employee assistance program, domestic partnership benefits, career mobility, employee network groups, volunteer opportunities, and other programs. For more information about our company, please visit us at: http://www.mmc.com/ . We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients. For more information, please visit us at: www.mmc.com/diversity . Job Consulting Primary Location US-PA-Philadelphia Other Locations US-NY-New York Schedule F - Full Time Marsh & McLennan Companies and its Affiliates are EOE Minority/Female/Disability/Vet/Sexual Orientation/Gender Identity employers."
AI Engineer,"About the Client We’re coding the future of commerce with a leading platform powered by artificial intelligence and big data. Founded and developed by data scientists and aerospace engineers, we have one critical mission: make commerce safe. We want your incredible talent to drive growth and help our customers be successful. Backed by years of hardcore work and funding from amazing investors we’re at the inflection point of growth. We’re data people so you should have a desire and willingness to dig into the numbers, too. About the Job Create and execute a comprehensive strategic sales plan to serve as a road map for establishing and developing the Feedzai client relationship using your thorough understanding of clients' strategic initiatives that may be supported by Feedzai’s products and services Achieve client-specific revenue and growth targets, execute on sales activities to achieve quarterly and annual revenue targets within strategic and associated accounts Own the Feedzai relationship with the client-across objectives, opportunities, power map strategies, concerns and barriers; responsible for originating, managing and building strong personal relationships with key client executives, line of business decision-makers and influencers Identify new business opportunities, develop new senior level relationships, nurture and grow existing Own the Feedzai growth plan and drive Feedzai’s position with client upward About You You are a natural hunter and enjoy going the extra mile to delight a customer. You are eager to use your experience in the Fintech space to propel an innovator in machine learning fraud prevention and protect consumers everywhere. You have in-depth experience in fraud prevention, cyber security, payments, big data or predictive analytics markets and are excited to establish and develop Feedzai’s relationships with Issuers in the Southwest. You will lead the creation, development and expansion of revenue-producing activities within the client. You will be responsible for developing buyer and senior level relationships, identifying new business opportunities and protecting and growing the overall book of business. This is a quota-carrying, revenue generating role. The level for this position will be determined by the candidate’s education, skills and experience. 5+ years of key account sales experience selling fraud prevention solutions to Issuers in the Southwest Bachelor's degree Risk management and fraud experience a strong plus Advanced knowledge of the financial services, fraud and payments industries and product specific businesses Adept with financial and operational analysis and business case development Talented negotiator who is a pro at complex sales-a HunterAbility to understand and demonstrate products as well as to interact with engineers, operational teams and executives through a variety of channels Eager, ambitious, energetic, dedicated, and a solid work ethic—in other words someone who thrives in the environment of a fast-moving, industry-disrupting, groundbreaking start-up"
AI Engineer,"Working at MIT offers opportunities, an environment, a culture – and benefits – that just aren’t found together anywhere else. If you’re curious, motivated, want to be part of a unique community, and help shape the future – then take a look at this opportunity. MATERIALS RESEARCH SCIENTIST , _Computer Science and Artificial Intelligence Lab (CSAIL)-_ _Computational Fabrication Group_ , to develop new classes of materials for 3D printing and other fabrication processes as part of an interdisciplinary team including mechanical engineers, electrical engineers, and computer scientists. Will lead a team of graduate students and postdocs and have significant autonomy in research; participate in research grant writing and initiate broad interdisciplinary research themes; collaborate with other top researchers in the field; manage multiple projects; plan, schedule, and coordinate detailed phases of the work involved in developing novel additive manufacturing processes and materials; contribute to determining the feasibility of research goals and objectives involving both theoretical studies and initial practical testing of material/polymer properties; collaborate on expending technical capabilities and identifying new research opportunities; initiate new project concepts, seek funding, develop technical proposals, and make presentations to funders; and lead wet lab safety/maintenance and assure that it meets MIT EHS policies. This is an intermediate step for someone interested in a future faculty position. Job Requirements _REQUIRED_ : Ph.D. in materials science, electrical engineering, chemical engineering, or bioengineering; at least two years’ experience; and research and publication experience with a focus on materials development for additive manufacturing or other processes (e.g., conductive and semiconducting materials, switchable materials, magnetic materials, extreme mechanical properties, biomaterials). Must have experience with applications such as printable, flexible, and stretchable electronics; self-healing devices; self- folding and self-assembled structures; low power actuators; bio-sensing; and biocompatibility. Experience with the following preferred: materials formulation and synthesis (e.g., hands-on experience with photopolymers and/or polyurethanes for inks/adhesives/elastomers, etc.), application-driven material design (electronic properties, biocompatibility, mechanical properties), and characterization of fluid properties and mechanical and thermal properties. Job 16372"
AI Engineer,"User Experience Engineer Power is seeking a User Experience Engineer to join our team. This engineer will have the ability to define how internal users will interact with our homegrown systems. We are looking for a collaborative UX engineer, who is passionate about creating phenomenal tools that people genuinely want to use. What we do here Fancy a unique work environment that is constantly pushing you to try something new? or perhaps stretch your skills by developing as solution for an industry you’ve always wanted to improve? At Power, we build our own application suite of products to run our entire business. We build complete solutions for finance, recruiting, sales, contact center and even meeting software. These are just some of the areas you’ll get an opportunity to tackle. We also design solutions for augmented reality in the home, satellite photo measurements and artificial intelligence suggestion engines. We get to dip our toes in many different fascinating areas and solve unique challenging problems that would on their own be standalone apps or companies. We’re a tech powerhouse built inside a remodeling company. Our teams are distributed, so we live and die by our ability to successfully collaborate. We collaborate using our own slack chat client. We use our own handoffs tools to support our User Experience team better create and collaborate with development and business groups. The user experience team is small diverse team made up of UX Designers and UX Engineers. We value diversity of all types at Power and our team is made up of a kind, thoughtful group of people with a wide range of backgrounds. We actively try to find people with different perspectives and experiences to the ones we already have. With a distributed group it’s important to connect in person, so we fly the whole distributed team to Philadelphia 3 times a year for our week long event called Create, focusing on connecting and learning from each other and the business. At Power we have all the upsides of a startup, we move fast, ship rapidly, iterate quickly, but with the benefit of an established organization that is well funded and profitable. The biggest perk of working at Power is that we have a small, talented team with a very large audience. This means you have the ability to have a huge impact on the product and the company, whilst also having really interesting and challenging problems to work on. We believe deeply in what we do and we're all in this to build something lasting, sustainable and positive. Power has been awarded Computerworld’s Best Places to Work in IT, Fortune Magazine’s 1 Workplace for Millennials, one of Glassdoor’s Best Places to Work, one of Inc. 5000’s Fastest Growing Private Companies, and Philadelphia Magazine Coolest Companies. About the Job: Implement new styles, interactions, animations, and details to help deliver the perfect experience across our platform Work alongside fellow UX Engineers to maintain and grow our internal design system Collaborate closely with designers to assess the feasibility of new ideas and help drive innovative ideas forward Deliver innovative, engaging prototypes and proof-of-concepts to help validate new ideas internally and with users Research technical documentation, APIs, integration with 3rd party technologies etc. to confirm project requirements, expectations and specific details Qualifications: Expert in modern front-end frameworks (e.g. React, Ruby on Rails, Sass) Passion for coding standards, componentization and code re-use Familiarity with technical constraints and limitations applied to designing for specific platforms Strong written & verbal communication and presentation skills Sharp eye for implementing design details Strong collaboration skills across disciplines to drive change into products Solid design sense and experience working closely with design teams Ability to manage and work on multiple projects concurrently A minimum of 3 years of industry experience in product design. Strong written and verbal communication and presentation skills Strong collaboration skills across disciplines to drive change into products Ability to manage and work on multiple projects concurrently Experience working with and building design systems Ability to support the building process across with development Thorough knowledge of many design approaches, methodologies and lo-fi and high-fi prototyping skills Salary and Benefits: Full medical, dental, life and disability insurance plans that can be tailored to your specific needs and the needs of your family A competitive 401(k) retirement savings program matched by Power Competitive salary - We pay very well at market rates reflecting both location and experience. All the tech you need - We'll pay for whatever hardware and software you need to work and make sure you're regularly upgraded to the latest versions Personal development - Personal development books, courses, & conferences. Paid parental leave - When the time comes to welcome a new member of the family, we offer paid parental leave. 3 events per year focused on internal development and improvement. Office costs covered."
AI Engineer,"Mission GM Carline Specialist Who We Are Founded and continuously led by inventor and entrepreneur Tony Aquila, Solera is a global leader in digital technologies that connect and secure life's most important assets: our cars, homes and identities. Since its inception in 2005 as a garage-based startup, Solera has grown aggressively with over 50 acquisitions across its platforms. The company's current product solutions include Audatex, Autodata, AutoPoint, CAP/HPI, Colimbra, Digidentity, Enservio, Explore Data, Hollander, Identifix, Inpart, LYNX and TitleTec, as well as the company's flagship Digital Garage application. Today, Solera processes over 300 million transactions annually for approximately 235,000 partners and customers in over 80 countries. Unified by a strong culture that values uncommon entrepreneurial thinking and continuous ""do-it-different"" innovation, Solera's global workforce of 6,700+ associates come from diverse forward-thinking industries that include automotive technology, artificial intelligence, software development, data sciences, cybersecurity, cognitive design, and digital identity protection. For more information, please visit solera.com. The Solera Way Solera’s uncommon culture is based on three simple principles: Think 80/20 (Focus), Act 30/30 (Efficiency), and Live 90/10 (Accountability). We define our mindset using Our 3H’s: Humility, a Hunger to succeed, and a desire to Hunt for opportunities to win. We train our volunteers to engage with each other modulating between their intellect (IQ) and emotional intelligence (EQ) using our 3Fs: Facts, Finesse, and Force. Solera has become a global technology leader that is constantly growing in the double digits. The principles, drills, and values associated with the Solera Way have been fundamental to Solera’s success and our ability to grow, continuously change, and innovate. Are You Uncommon? We’re on the hunt for an experienced GM Carline Specialist who ranks in the top quartile among their peers. Someone who has a highly competitive and entrepreneurial mindset that is wired with a team-first attitude, has no problem rolling up their sleeves to execute their missions, and can modulate between leading and following as needed. You will serve as the GM Carline Specialist on our repair hotline team. Position 80s What You’ll Be Doing At Solera, we believe in providing clarity and focus to what our volunteers are responsible for – their mission. The 80’s, as we call them at Solera, are the employee’s priorities associated with their role or mission. The mission 80’s for this role, are: Quick and accurate point diagnostics on GM vehicles Provide diagnostics one on one with the customer Author quality archives to be placed into the Identifix Direct Hit website Additional responsibilities of the role include: Provide an elevated level of service repair and diagnosis over phone, email, fax, and chat to repair shops. Our customers require quick, accurate, and to the point diagnostics on European vehicles that they are unfamiliar with. Diagnostics will be one on one with the customer with the assistance of factory repair information. Author quality archives based on incoming calls in an easy to read and follow manner. Archives will include test steps and conclusions that will lead our customers through a diagnosis. Archives are then placed into the Identifix Direct Hit website for subscriber use. Available for an 8-hour shift between the operating hours of 7:00 AM to 7:00 PM Monday-Friday. Employees will be assigned an 8 - hour shift that provides the best coverage for our customers. Qualifications Are You Qualified? 2 year automotive degree or equivalent degree. ASE Master tech and L1 certified 10+ years in the GM carline technician automotive field. Ability to efficiently operate a desktop computer. This includes typing, internet usage, and software skills. Possess proficient writing skills. Exceptional ability to learn and diagnose automotive systems then relay that information clearly to customers. Exceptional communication skills on the phone, through e-mail, and by chat. Our Space We believe that offices should be destinations where people want to be… places where people want to work, play and, collaborate. That is why we spend a lot of time on enhancing our workspaces. Solera’s work environments are intersections of the old and the new… of the past, present, and future. They are spaces designed to stimulate creative thinking, innovation, and cross- functional collaboration. We also embrace wellness. Whether it is our onsite or offsite workout centers, nutritional meals and beverages, or endless snacks for focus and energy. This wellness plan is our commitment to healthy living, which spans across our office environments."
AI Engineer,"Imagine new horizons: QUINTIQ, a division of Dassault Systèmes, is looking for an Algorithm and Optimization Expert This newly minted position will design and implement optimization methods used by QUINTIQ customers to solve supply chain, logistics, production, shipping, and workforce planning solutions that are 100% state of the art The position offers the opportunity to coach our internal consultants for sales engagements and the company at large in optimization as well as researching algorithms to best solve challenging planning puzzles for our customer base What will your role be? Provide expertise around optimization techniques in operations research and artificial intelligence Design optimization solutions and analyze existing solutions for day-to-day planning Coach and spar with other Algorithm Experts about design, implementation, testing and debugging of optimizers The challenges ahead Assist our internal Business Consultants in designing planning solutions that incorporate optimization Design and conduct experiments with different approaches for various industry issues Research various sources and stay abreast of recent and relevant developments Participate in optimization implementation process improvements including development of e-learning products for optimization Your key success factors? Experience with operations research and artificial intelligence (linear programming, genetic algorithms, heuristic search techniques, constraint programming etc.) Ability and experience to address optimization techniques in one or more domains such as supply chain, logistics, production, shipping, and workforce planning solutions Familiarity with OOD or OOP (C++, Python, Java, etc..) Degree in Computer Science, Engineering, Operations Research, Statistics, Econometrics, Artificial Intelligence or related. High abstraction level and analytic ability Strong communication skills"
AI Engineer,"Job Summary Lead the Aimotive team in US and manage our US operations Grow our customer base and drive business within existing customers in the US and globally Manage customer and partner relationships in the USA and for selected accounts globally Work cross-functionally with our multi-disciplinary team and ensure our product roadmap and sales growth plan are aligned Contribute to company-wide Sales, Marketing, Business Development and Strategy work as a management team member of Aimotive’s business organisation Represent AImotive at tradeshows and industry events Key Qualifications 5-10 years experience in Sales, Marketing, Business Development and/or Strategy roles within Technology and/or Automotive industry, Proven track record of successfully managing a team, scaling up a new business, building long-term partnerships and achieving ambitious commercial targets Strategic thinking and execution. Ability to develop new sales and business strategy options while successfully executing on existing opportunities Strong negotiation, organizational, presentation, written, and verbal communication skills Passion to work in a startup Interest for artificial intelligence and self-driving cars Degree in business or engineering What We Offer Full-time position in rapidly growing technology company Competitive compensation with base pay and share options Opportunity to work with the leading Automotive and Tech companies on industry disrupting technologies Independence and flexibility in managing your work and life balance"
AI Engineer,"The Senior Data Analyst will help drive the advancement of cutting-edge analysis, modelling, and recommendation algorithms. In this role, you will be asked to help find, analyse, and predict the patterns in our web and mobile transaction. You will develop the models and algorithms that will make the decisions on how we present customized experiences to the millions of users who use our products every day. Responsibilities Discover and apply insights from massive data sets of structured, semi- structured, and unstructured data Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting, retention and engagement, and other business outcomes. Perform hands-on advanced analysis in marketing science and business analytics on big data to promote audience growth and product development Research, prototype, and validate new models and algorithms Implement machine-learning algorithms in a practical production setting Develop processes and tools to monitor and analyze model performance and data accuracy Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions Present and interpret analytics findings and participate actively in discussions of results, internally and externally Coordinate with different functional teams to implement models and monitor outcomes Conduct recurring web reporting to monitor and drive KPIs Proactively develop site performance reports and analysis such as segmentation analysis; highlight observations and business context to deliver actionable recommendations to business leads, not just data Translate business requirements into a Solution Design Document used for implementation support, guidance, and documentation Participate in the design, set up, and evaluation of A/B and multivariate testing Ensure quality and timeliness of deliverables that meet expectations while balancing business needs with the appropriate level of analytical rigor Provide insights to support senior management with decision making Complete and maintain distribution of web analytics reports including contextualization Requirements 5 years of relevant experience and strong knowledge in at least one of the following fields: statistics, data mining, machine learning, statistics, econometrics, natural language processing Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications Experience in machine learning areas such as recommender systems, NLP, pattern recognition, predictive modeling, Artificial Intelligence. Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Athena, Redshift, S3, etc. Experience implementing machine learning algorithms such as support vector machines, decision trees, logistic regression, clustering, neural networks, graphical models etc Experience in building large scale end-to-end machine learning systems using a combination of big data tools and programming languages like Scala, Java and/or Python. Understanding of data visualization patterns. Experience with one or more data visualization tools such as Tableau, R Shiny, Power BI, etc. Experience analyzing data from 3rd party providers: Adobe Analytics, Google Analytics, Adwords, Facebook Insights, etc. Requires concise and effective verbal and written communications skill Experience with Python (Pandas and Scikit-Learn) or equivalent language Experience instrumenting and building analytics with Splunk Bachelor's degree in Computer Science, Math, Statistics, or related quantitative field PLEASE APPLY ONLINE by hitting the ' Apply ' button. Applications will ONLY be accepted via the ‘Apply’ button. This role is being handled by the Centrica recruitment team and NO agency contact is required."
AI Engineer,"AppZen has developed the world’s first artificial intelligence (AI) solution for business process automation. AppZen’s AI for business solutions uses patent-pending Natural Language Processing, Computer Vision and machine learning algorithms to analyze data and automate functions. Our technology is used to automate business processes for both small and large enterprises, including fortune 50 organizations. The data science-based technology automatically detects accidental and intentional fraud, providing real-time compliance to IRS rules, FCPA regulations, and general company policies. This position’s primary laser-focus is providing Tier I support to customers. You own the problem and the solution. The secondary responsibilities will include product demonstrations, creating support articles and blog posts for new features, and communicating with the development team with suggested improvements. If you are looking to make an immediate impact this is the role for you! About You: You are a patient and caring person, highly organized and driven. You want to help our customers get the most out of AppZen’s audit solution and get joy out of watching a customer really succeed. You have GREAT communication skills and know how to get the message across. You are action oriented; no task is too small or insignificant for you. You have a finely tuned sense of urgency, you know when you can fix something, and when and how to ask for help. Responsibilities: Provide a positive, personalized experience via phone, live chat, and email to each customer who reaches out. You are not a robot; we want each customer to know how important they are. Identify, troubleshoot and resolve Tier I technical issues. Communicate suggested product improvements to the development team. Requirements: Humble and Friendly personality with an open and honest communication style. 2+ years of experience with SAAS software support. Exceptional written and verbal communication skills. Ability to understand our business applications quickly with little hands on training. Bonus Points: Previous experience in fraud and compliance"
AI Engineer,"Position: Associate Principal Regulatory Writer Location: Philadelphia, PA Company Overview: Synchrogenix, a Certara® company, is a global, multimillion-dollar regulatory and scientific writing company headquartered in Wilmington, DE, with US offices in Atlanta, GA; Thousand Oaks, CA; Cincinnati, OH; Philadelphia, PA; Raleigh, NC; Malvern, PA; Parsippany, NJ; San Diego, CA; Nashville, TN; Orlando, FL; Gaithersburg, MD; and Cambridge, MA. Synchrogenix has two wholly owned subsidiaries: Synchrogenix Europe Limited, headquartered in Daresbury, UK, with an additional office in London; and Synchrogenix Philippines Inc. (SPI), headquartered in Manila. Founded in 1986, Synchrogenix takes a unique team approach to projects drawing from the varied skills and backgrounds of its writers and editors. This approach enables Synchrogenix to bridge all functional areas within drug development, with the singular focus on regulatory/medical documentation. Regulatory writing is truly an expertise, and Synchrogenix’s 170+ permanent writers and editors are among the best in the world. Synchrogenix now offers additional technologies and services that expedite the regulatory process. These include: The only artificial intelligence assisted medical writing service in the pharmaceutical industry. This transformative technology helps clients to better meet global transparency and disclosure requirements. Submission Management - our suite of products consists of the solutions regulatory operations professionals need to efficiently manage and publish, validate and review eCTD submissions. Regulatory Services - submission and publishing services for marketing and pre-marketing applications as well as subsequent lifecycle submissions to support original applications. Document Management - an intuitive, affordable document management system that reduces complexity form a user perspective while meeting the same robust standards for security and regulatory compliance This combined knowledge makes Synchrogenix the consultancy of choice for life science and biotechnology companies worldwide. Synchrogenix was named one of the INC 500/5000 Fastest Growing US Companies in 2012, 2013, 2014, 2016 and 2017 and has been named a Best Place to Work multiple times. Corporate Culture: Synchrogenix was founded on the principles of ethical business practices and high-quality work. It is a learning-oriented organization with a strong commitment to the idea that every individual—regardless of experience level—has something to teach and something to learn. Synchrogenix has built its culture on: Being fast and flexible, non-hierarchical, apolitical, and non-defensive Active participation—nobody sits on the sidelines Teamwork—the company’s success is important to all of us Cross-functional communication (lots of it) and a high-tech culture that works to have everyone on the same page Disciplined leadership that inspires passion and commitment Personal accountability Strong peer and management support for those who want to learn Responsibilities Work closely with client, internal, and partner organization teams to lead development of strategies for organizing and preparing regulatory documents As part of project teams, actively participate in development and writing of high-quality documents, such as CSRs, briefing books, and clinical summaries Author documents per client specifications, templates, style uides, and other guidance documents Author documents per regulatory authority guidelines and requirements Manage overall budget for respective project, including all contributing writers and editors Usher documents through the review process, conduct comment resolutions meetings (CRMs) Maintain collaborative, proactive, and effective communication with both client and internal teams Lead project-related meetings and teleconferences Provide training of writing staff and ensure compliance with company standard operating procedures (SOPs) and staff training requirements Adhere to SOPs for quality document preparation, document review, accurate comment resolution/incorporation, and document finalization Requirements BA/BS 8+ years of regulatory writing experience with nonclinical, clinical, CMC, or drug safety related documentation Ability to synthesize data and present it in a written format Shown success in Word skills and document management techniques Understanding of document creation process and ability to lead/own a study level document Collective experience writing a range of study-level documents in their entirety and able to lead/own a study level document Strong understanding of the document creation process and of clinical development and study level clinical operations from conceptual study design to final CSR/CTR Ability to conduct/lead a CRM and successfully lead a project team to consensus Understanding of regulatory requirements for different phases of development and different regulatory pathways and knowledge of global health authority requirements Has led the development of one or some types of submission-level documents within the CTD Ability to provide high-quality customer service and follow-through on all assignments Professional, personable demeanor The Ideal Candidate Is reliable, professional and discrete, and personable with business acumen Is a team player who is flexible with an extremely high level of attention to detail and enjoys collaboration Is deadline conscious with strong leadership and management of process Is self-motivated and solution-driven Can manage changing and competing priorities in a fast-paced environment Desires challenges, both technical and interpersonal Opportunity and Value for the Right Candidate Make an immediate contribution Be a critical driver to overall company success Variety — submission-level work across therapeutic areas Flexibility — custom schedules and benefits of “flex time” Stability — almost 32 years in business Support — a community of writers working as a team Grow - excellent potential for growth and advancement Learn - gain valuable knowledge and expertise for development and advancement (training provided); the ever-evolving pharmaceutical and biotech industries, and a niche segment, that is growing exponentially. Competitive compensation and benefits package _Synchrogenix is proud to be an Equal Opportunity Employer and will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status, or any other characteristic protected by law. Synchrogenix makes reasonable accommodations for disabled employees and applicants. Synchrogenix only employs individuals with the right to work in the country/ies where the role is advertised. We are committed to fostering, cultivating, and preserving a culture of diversity and inclusion. The collective sum of the individual differences, life experiences, knowledge, inventiveness, innovation, self- expression, unique capabilities and talent that our employees invest in their work represents a significant part of not only our culture, but our reputation and achievement._"
AI Engineer,"About UiPath What if you could shape the future of work and be part of the team that creates the digital workforce of tomorrow? At the beginning of the 20th century, Henry Ford had a vision of creating assembly lines and facilitating mass production. 100 years later, UiPath has a grand vision of liberating the human workforce from tedious, boring, repetitive tasks, by means of software robots, artificial intelligence and machine learning. Your responsibilities: Help build out and oversee the video/audio lab and equipment in NYC office. Capturing all video & audio for Americas marketing team Managing to edit, animating graphics, transcripts & posting to YouTube channel. Travel to shows throughout Americas. (20%) Some things we offer to you Access to the latest camera equipment and gear with the potential to travel and capture stories for a great new industry. A place to grow your knowledge of using video & audio in social, campaign and paid media marketing programs. We are offering flexible working hours in a nice office and free daily premium catering. Some things you need to have A qualified candidate for the position will have: Ability to tell a story visually (will need to see three examples of work you have at least edited and of course the more you did the better.) Knowledge of running Final Cut Pro, Premier & Photoshop. Have good grasp from design and creation of motion graphics, transitions, Knowledge of audio capture, software and editing for podcasts. Camera, lighting and audio equipment experience Editorial News or Corporate video experience is a plus Passport"
